Criteri;Punteggi;Primo;Secondo;Terzo;Quarto;Quinto
C1;7;7;5.6000000000000005;4.2;2.8000000000000003;1.4000000000000001
C2;2;2;1.6;1.2;0.8;0.4
C3;3;3;2.4000000000000004;1.7999999999999998;1.2000000000000002;0.6000000000000001
C4;6;6;4.800000000000001;3.5999999999999996;2.4000000000000004;1.2000000000000002
C5;4;4;3.2;2.4;1.6;0.8
C6;4;4;3.2;2.4;1.6;0.8
C7;3;3;2.4000000000000004;1.7999999999999998;1.2000000000000002;0.6000000000000001
C8;4;4;3.2;2.4;1.6;0.8
C9;6;6;4.800000000000001;3.5999999999999996;2.4000000000000004;1.2000000000000002
C10;2;2;1.6;1.2;0.8;0.4
C11;4;4;3.2;2.4;1.6;0.8
C12;6;6;4.800000000000001;3.5999999999999996;2.4000000000000004;1.2000000000000002
C13;4;4;3.2;2.4;1.6;0.8
C14;4;4;3.2;2.4;1.6;0.8
C15;5;5;4.0;3.0;2.0;1.0
C16;4;4;3.2;2.4;1.6;0.8
C17;1;1;0.8;0.6;0.4;0.2
C18;2;2;1.6;1.2;0.8;0.4
C19;1;1;0.8;0.6;0.4;0.2
C20;4;4;3.2;2.4;1.6;0.8
C21;2;2;1.6;1.2;0.8;0.4
C22;2;2;1.6;1.2;0.8;0.4
